Name	Description	SourceMTOverride	SampleMTOverride	Group	VNI subdivision	Characteristics[mating type]	Characteristics[country]	Characteristics [specimen]	Characteristics [health_status]	Characteristics [organism]	Characteristics [reference]	In GWAS	Phenotyped	Characteristics [fungus organism]	Characteristics [fungal strain]	Lineage	Fluconazole Ave+Std Dev	Paraquat Ave+Std Dev	H2O2	LDOPA Ave+Std Dev
Bt204	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt204	VNBI	0.012 +/- 0.017	0.277 +/- 0.246	0.641	0.329 +/- 0.047
Bt22	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt22	VNBI	0.007 +/- 0.011	0.411 +/- 0.361	0.234	0.225 +/- 0.006
Bt24	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt24	VNBI	0.326 +/- 0.213	0.993 +/- 0.135	0.276	0.213 +/- 0.025
Bt45	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt45	VNBI	0	0.679 +/- 0.504	0	0.217 +/- 0.159
Bt60	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt60	VNBI	0.000 +/- 0.000	0.857 +/- 0.175	0.003	0.280 +/- 0.025
Bt63	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt63	VNBI	0.000 +/- 0.000	0.931 +/- 0.114	0.36	0.179 +/- 0.042
Bt7	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt7	VNBI	0.000 +/- 0.000	1.018 +/- 0.097	0.65	0.261 +/- 0.021
Bt70	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt70	VNBI	0.066 +/- 0.062	1.059 +/- 0.182	0.068	0.162 +/- 0.021
Bt85	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt85	VNBI	0.001 +/- 0.001	0.773 +/- 0.353	0.257	0.287 +/- 0.031
Bt96	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt96	VNBI	0.295 +/- 0.202	0.617 +/- 0.307	0.628	0.231 +/- 0.052
Ftc102-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc102-1	VNBI	0.000 +/- 0.000	1.024 +/- 0.128	0.299	0.193 +/- 0.049
Ftc103-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc103-1	VNBI	0.143 +/- 0.118	0.397 +/- 0.469	0.537	0.202 +/- 0.049
Ftc109-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc109-1	VNBI	0.000 +/- 0.000	0.651 +/- 0.230	0.609	0.212 +/- 0.008
Ftc111-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc111-1	VNBI	0.042 +/- 0.059	0.942 +/- 0.256	0.571	0.198 +/- 0.062
Ftc132-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc132-1	VNBI	0.000 +/- 0.000	0.926 +/- 0.188	0.466	0.151 +/- 0.030
Ftc134-3	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc134-3	VNBI	0.000 +/- 0.000	0.698 +/- 0.247	0.541	0.201 +/- 0.030
Ftc137-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc137-1	VNBI	0.067 +/- 0.081	0.850 +/- 0.236	0.335	0.163 +/- 0.017
Ftc146-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc146-1	VNBI	0.169 +/- 0.156	0.784 +/- 0.284	0.626	0.139 +/- 0.021
Ftc151-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc151-1	VNBI	0.026 +/- 0.033	1.023 +/- 0.126	0.014	0.214 +/- 0.090
Ftc153-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc153-1	VNBI	0.097 +/- 0.131	0.941 +/- 0.164	0.387	0.123 +/- 0.004
Ftc158-2	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	feces		Aves	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc158-2	VNBI	0.000 +/- 0.000	0.850 +/- 0.165	0.15	0.171 +/- 0.056
Ftc167-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc167-1	VNBI	0.100 +/- 0.132	0.922 +/- 0.111	0.299	0.153 +/- 0.029
Ftc168-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc168-1	VNBI	0.026 +/- 0.036	0.920 +/- 0.130	0.611	0.166 +/- 0.009
Ftc170-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc170-1	VNBI	0.006 +/- 0.008	0.694 +/- 0.409	0.211	0.215 +/- 0.011
Ftc173-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc173-1	VNBI	0.009 +/- 0.013	0.936 +/- 0.259	0.195	0.199 +/- 0.037
Ftc192-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc192-1	VNBI	0.111 +/- 0.121	1.000 +/- 0.060	0.491	0.208 +/- 0.020
Ftc195-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc195-1	VNBI	0.303 +/- 0.163	0.905 +/- 0.150	0.451	0.149 +/- 0.040
Ftc200-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc200-1	VNBI	0.260 +/- 0.231	1.114 +/- 0.487	0.125	0.244 +/- 0.001
Ftc202-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc202-1	VNBI	0.079 +/- 0.109	1.012 +/- 0.078	0.454	0
Ftc207-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc207-1	VNBI	0.017 +/- 0.023	0.958 +/- 0.116	0.261	0.187 +/- 0.065
Ftc209-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc209-1	VNBI	0.163 +/- 0.230	0.858 +/- 0.173	0.413	0.167 +/- 0.037
Ftc209-3	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc209-3	VNBI	0.035 +/- 0.048	0.941 +/- 0.129	0.698	0.166 +/- 0.010
Ftc211-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc211-1	VNBI	0.004 +/- 0.005	0.922 +/- 0.206	0.507	0.196 +/- 0.005
Ftc214-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc214-1	VNBI	0.081 +/- 0.114	0.711 +/- 0.339	0.326	0.162 +/- 0.008
Ftc217-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc217-1	VNBI	0.056 +/- 0.069	0.855 +/- 0.227	0.297	0.152 +/- 0.017
Ftc222-2	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc222-2	VNBI	0.066 +/- 0.093	0.843 +/- 0.200	0.568	0.105 +/- 0.041
Ftc225-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc225-1	VNBI	0.072 +/- 0.098	0.991 +/- 0.235	0.104	0.146 +/- 0.120
Ftc225-3	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc225-3	VNBI	0.276 +/- 0.390	0.962 +/- 0.211	0.663	0.149 +/- 0.035
Ftc236-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc236-1	VNBI	0.113 +/- 0.034	0.655 +/- 0.278	0	0.227 +/- 0.051
Ftc239-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc239-1	VNBI	0.007 +/- 0.001	0.468 +/- 0.451	0.292	0.194 +/- 0.039
Ftc239-2	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc239-2	VNBI	0.004 +/- 0.006	1.028 +/- 0.075	0.686	0.108 +/- 0.004
Ftc241-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc241-1	VNBI	0.051 +/- 0.072	1.039 +/- 0.099	0.42	0.170 +/- 0.045
Ftc257-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc257-1	VNBI	ND	0.996 +/- 0.088	0.388	0.161 +/- 0.071
Ftc267-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc267-1	VNBI	0.103 +/- 0.097	0.968 +/- 0.225	0.159	0.215 +/- 0.067
Ftc267-2	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc267-2	VNBI	0.000 +/- 0.000	0.859 +/- 0.291	0.621	0.186 +/- 0.016
Ftc321-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc321-1	VNBI	0.038 +/- 0.048	1.048 +/- 0.067	0.7	0.152 +/- 0.003
Ftc321-2	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc321-2	VNBI	0.037 +/- 0.049	0.967 +/- 0.201	0.552	0.124 +/- 0.014
Ftc321-3	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc321-3	VNBI	0.009 +/- 0.007	0.955 +/- 0.086	0.336	0.217 +/- 0.018
Ftc327-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc327-1	VNBI	0.000 +/- 0.000	0.675 +/- 0.398	0.389	0.269 +/- 0.060
Ftc555-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc555-1	VNBI	ND	0.979 +/- 0.057	0.526	0.224 +/- 0.015
Ftc555-2	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ftc555-2	VNBI	0.021 +/- 0.004	1.101 +/- 0.273	0.28	0.152 +/- 0.057
Gbc573-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	tree isolate?		tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Gbc573-1	VNBI	0.126 +/- 0.177	0.990 +/- 0.017	0.027	0.202 +/- 0.021
LP-RSA6618	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Litvintseva et al 2011 PLoS One	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii LP-RSA6618	VNBI	0.013 +/- 0.016	0.620 +/- 0.372	0.524	0.236 +/- 0.013
LP-RSA756	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Litvintseva et al 2011 PLoS One	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii LP-RSA756	VNBI	0.018 +/- 0.025	0.679 +/- 0.090	0.812	0.147 +/- 0.025
Muc364-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc364-1	VNBI	0.005 +/- 0.008	1.026 +/- 0.206	0.629	0.173 +/- 0.001
Muc367-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc367-1	VNBI	0.029 +/- 0.031	1.026 +/- 0.065	0.516	0.166 +/- 0.023
Muc402-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc402-1	VNBI	0.000 +/- 0.000	0.917 +/- 0.081	0.411	0.147 +/- 0.019
