name	description	sourcemtoverride	samplemtoverride	run_prefix_prep	region	title	host_common_name	host_subject_id	body_site	body_habitat	body_product	sample_type	Site	BodyType	Days post-infection	Treatment	Group	Cage ID	Exp_Cage ID	Lesion score	Thickness	Cured	No. Treatment	Lesion Size	Lesion Duration	ExtractionDate	DTH	host_sex
Sample 10153				MiSeq_1	V4		mouse	20	Colon	UBERON:feces	Colon	Stool			14	anti-IL12 mAb		4		0	0.2							
Sample 10154				MiSeq_1	V4		mouse	21	Colon	UBERON:feces	Colon	Stool			14	anti-IL10 mAb		5		0	0.2							
Sample 10155				MiSeq_1	V4		mouse	22	Colon	UBERON:feces	Colon	Stool			14	anti-IL10 mAb		5		0	0.2							
Sample 10156				MiSeq_1	V4		mouse	23	Colon	UBERON:feces	Colon	Stool			14	anti-IL10 mAb		5		0	0.2							
Sample 10157				MiSeq_1	V4		mouse	24	Colon	UBERON:feces	Colon	Stool			14	anti-IL10 mAb		5		0	0.2							
Sample 10158				MiSeq_1	V4		mouse	25	Colon	UBERON:feces	Colon	Stool			14	anti-IL10 mAb		5		0	0.2							
Sample 10159				MiSeq_1	V4		mouse	26	Colon	UBERON:feces	Colon	Stool			14	anti-IL10 mAb		6		0	0.2							
Sample 10160				MiSeq_1	V4		mouse	27	Colon	UBERON:feces	Colon	Stool			14	anti-IL10 mAb		6		0	0.2							
Sample 10161				MiSeq_1	V4		mouse	28	Colon	UBERON:feces	Colon	Stool			14	anti-IL10 mAb		6		0	0.2							
Sample 10162				MiSeq_1	V4		mouse	29	Colon	UBERON:feces	Colon	Stool			14	anti-IL10 mAb		6		0	0.2							
Sample 10163				MiSeq_1	V4		mouse	30	Colon	UBERON:feces	Colon	Stool			14	anti-IL10 mAb		6		0	0.2							
Sample 10165				MiSeq_1	V4		mouse	1	Colon	UBERON:feces	Colon	Stool			28	Isotype control antibody		1		3	1.6							
Sample 10166				MiSeq_1	V4		mouse	2	Colon	UBERON:feces	Colon	Stool			28	Isotype control antibody		1		0	0.2							
Sample 10167				MiSeq_1	V4		mouse	3	Colon	UBERON:feces	Colon	Stool			28	Isotype control antibody		1		1	0.9							
Sample 10168				MiSeq_1	V4		mouse	4	Colon	UBERON:feces	Colon	Stool			28	Isotype control antibody		1		0	0.2							
Sample 10169				MiSeq_1	V4		mouse	5	Colon	UBERON:feces	Colon	Stool			28	Isotype control antibody		1		1	0.8							
Sample 10170				MiSeq_1	V4		mouse	6	Colon	UBERON:feces	Colon	Stool			28	Isotype control antibody		2		0	0.2							
Sample 10171				MiSeq_1	V4		mouse	7	Colon	UBERON:feces	Colon	Stool			28	Isotype control antibody		2		2	1.3							
Sample 10172				MiSeq_1	V4		mouse	8	Colon	UBERON:feces	Colon	Stool			28	Isotype control antibody		2		0	0.2							
Sample 10173				MiSeq_1	V4		mouse	10	Colon	UBERON:feces	Colon	Stool			28	Isotype control antibody		2		1	0.6							
Sample 10174				MiSeq_1	V4		mouse	11	Colon	UBERON:feces	Colon	Stool			28	anti-IL12 mAb		3		0	0.2							
Sample 10175				MiSeq_1	V4		mouse	12	Colon	UBERON:feces	Colon	Stool			28	anti-IL12 mAb		3		1	1.1							
Sample 10176				MiSeq_1	V4		mouse	13	Colon	UBERON:feces	Colon	Stool			28	anti-IL12 mAb		3		0	0.2							
Sample 10177				MiSeq_1	V4		mouse	14	Colon	UBERON:feces	Colon	Stool			28	anti-IL12 mAb		3		3	1							
Sample 10178				MiSeq_1	V4		mouse	15	Colon	UBERON:feces	Colon	Stool			28	anti-IL12 mAb		3		0	0.2							
Sample 10179				MiSeq_1	V4		mouse	16	Colon	UBERON:feces	Colon	Stool			28	anti-IL12 mAb		4		1	1.3							
Sample 10180				MiSeq_1	V4		mouse	17	Colon	UBERON:feces	Colon	Stool			28	anti-IL12 mAb		4		0	0.2							
Sample 10181				MiSeq_1	V4		mouse	18	Colon	UBERON:feces	Colon	Stool			28	anti-IL12 mAb		4		1	1							
Sample 10182				MiSeq_1	V4		mouse	19	Colon	UBERON:feces	Colon	Stool			28	anti-IL12 mAb		4		0	0.2							
Sample 10183				MiSeq_1	V4		mouse	20	Colon	UBERON:feces	Colon	Stool			28	anti-IL12 mAb		4		1	0.6							
Sample 10184				MiSeq_1	V4		mouse	21	Colon	UBERON:feces	Colon	Stool			28	anti-IL10 mAb		5		0	0.2							
Sample 10185				MiSeq_1	V4		mouse	22	Colon	UBERON:feces	Colon	Stool			28	anti-IL10 mAb		5		4	1.5							
Sample 10186				MiSeq_1	V4		mouse	23	Colon	UBERON:feces	Colon	Stool			28	anti-IL10 mAb		5		0	0.2							
Sample 10187				MiSeq_1	V4		mouse	24	Colon	UBERON:feces	Colon	Stool			28	anti-IL10 mAb		5		3	1.9							
Sample 10188				MiSeq_1	V4		mouse	25	Colon	UBERON:feces	Colon	Stool			28	anti-IL10 mAb		5		0	0.2							
Sample 10189				MiSeq_1	V4		mouse	26	Colon	UBERON:feces	Colon	Stool			28	anti-IL10 mAb		6		3	1.6							
Sample 10193				MiSeq_1	V4		mouse	27	Colon	UBERON:feces	Colon	Stool			28	anti-IL10 mAb		6		0	0.2							
Sample 10194				MiSeq_1	V4		mouse	28	Colon	UBERON:feces	Colon	Stool			28	anti-IL10 mAb		6		1	1.5							
Sample 10195				MiSeq_1	V4		mouse	29	Colon	UBERON:feces	Colon	Stool			28	anti-IL10 mAb		6		0	0.2							
Sample 10196				MiSeq_1	V4		mouse	30	Colon	UBERON:feces	Colon	Stool			28	anti-IL10 mAb		6		1	2							
Sample 10198				MiSeq_1	V4		mouse	1	Colon	UBERON:feces	Colon	Stool			42	Isotype control antibody		1		0	0.2							
Sample 10199				MiSeq_1	V4		mouse	2	Colon	UBERON:feces	Colon	Stool			42	Isotype control antibody		1		1	1.6							
Sample 10200				MiSeq_1	V4		mouse	3	Colon	UBERON:feces	Colon	Stool			42	Isotype control antibody		1		0	0.2							
Sample 10201				MiSeq_1	V4		mouse	4	Colon	UBERON:feces	Colon	Stool			42	Isotype control antibody		1		3	2							
Sample 10202				MiSeq_1	V4		mouse	5	Colon	UBERON:feces	Colon	Stool			42	Isotype control antibody		1		0	0.2							
Sample 10203				MiSeq_1	V4		mouse	6	Colon	UBERON:feces	Colon	Stool			42	Isotype control antibody		2		3	1.9							
Sample 10204				MiSeq_1	V4		mouse	7	Colon	UBERON:feces	Colon	Stool			42	Isotype control antibody		2		0	0.2							
Sample 10289				MiSeq_1	V4		mouse	29	Colon	UBERON:feces	Colon	Stool			84	anti-IL10 mAb		6		3	2.9							
Sample 10290				MiSeq_1	V4		mouse	30	Colon	UBERON:feces	Colon	Stool			84	anti-IL10 mAb		6		0	0.2							
Sample 10293				MiSeq_1	V4		mouse	1	Colon	UBERON:feces	Colon	Stool			4 reextract	Isotype control antibody		1		3	2.5							
Sample 10294				MiSeq_1	V4		mouse	2	Colon	UBERON:feces	Colon	Stool			4 reextract	Isotype control antibody		1		0	0.2							
Sample 10295				MiSeq_1	V4		mouse	3	Colon	UBERON:feces	Colon	Stool			4 reextract	Isotype control antibody		1		3	1							
Sample 10296				MiSeq_1	V4		mouse	5	Colon	UBERON:feces	Colon	Stool			4 reextract	Isotype control antibody		1		0	0.2							
Sample 10297				MiSeq_1	V4		mouse	6	Colon	UBERON:feces	Colon	Stool			4 reextract	Isotype control antibody		2		3	1.1							
Sample 10298				MiSeq_1	V4		mouse	7	Colon	UBERON:feces	Colon	Stool			4 reextract	Isotype control antibody		2		0	0.2							
Sample 10299				MiSeq_1	V4		mouse	8	Colon	UBERON:feces	Colon	Stool			4 reextract	Isotype control antibody		2		3	1							
Sample 10300				MiSeq_1	V4		mouse	9	Colon	UBERON:feces	Colon	Stool			4 reextract	Isotype control antibody		2		0	0.2							
Sample 10205				MiSeq_1	V4		mouse	8	Colon	UBERON:feces	Colon	Stool			42	Isotype control antibody		2		2	1							
Sample 10206				MiSeq_1	V4		mouse	9	Colon	UBERON:feces	Colon	Stool			42	Isotype control antibody		2		0	0.2							
Sample 10207				MiSeq_1	V4		mouse	10	Colon	UBERON:feces	Colon	Stool			42	Isotype control antibody		2		2	1.1							
Sample 10208				MiSeq_1	V4		mouse	11	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		3		0	0.2							
Sample 10209				MiSeq_1	V4		mouse	12	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		3		3	1.1							
Sample 10210				MiSeq_1	V4		mouse	13	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		3		0	0.2							
Sample 10211				MiSeq_1	V4		mouse	14	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		3		3	1							
Sample 10212				MiSeq_1	V4		mouse	15	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		3		0	0.2							
Sample 10213				MiSeq_1	V4		mouse	16	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		4		1	0.7							
Sample 10214				MiSeq_1	V4		mouse	17	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		4		0	0.2							
Sample 10215				MiSeq_1	V4		mouse	18	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		4		2	1.3							
Sample 10216				MiSeq_1	V4		mouse	19	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		4		0	0.2							
Sample 10301				MiSeq_1	V4		mouse	10	Colon	UBERON:feces	Colon	Stool			4 reextract	Isotype control antibody		2		3	1.1							
Sample 10302				MiSeq_1	V4		mouse	12	Colon	UBERON:feces	Colon	Stool			4 reextract	anti-IL12 mAb		3		0	0.2							
Sample 10303				MiSeq_1	V4		mouse	14	Colon	UBERON:feces	Colon	Stool			4 reextract	anti-IL12 mAb		3										
Sample 10304				MiSeq_1	V4		mouse	15	Colon	UBERON:feces	Colon	Stool			4 reextract	anti-IL12 mAb		3		4	0.9							
Sample 10305				MiSeq_1	V4		mouse	16	Colon	UBERON:feces	Colon	Stool			4 reextract	anti-IL12 mAb		4		0	0.2							
Sample 10306				MiSeq_1	V4		mouse	18	Colon	UBERON:feces	Colon	Stool			4 reextract	anti-IL12 mAb		4		1	1							
Sample 10307				MiSeq_1	V4		mouse	19	Colon	UBERON:feces	Colon	Stool			4 reextract	anti-IL12 mAb		4		0	0.2							
Sample 10308				MiSeq_1	V4		mouse	20	Colon	UBERON:feces	Colon	Stool			4 reextract	anti-IL12 mAb		4		1	0.6							
Sample 10309				MiSeq_1	V4		mouse	21	Colon	UBERON:feces	Colon	Stool			4 reextract	anti-IL10 mAb		5		0	0.2							
Sample 10217				MiSeq_1	V4		mouse	20	Colon	UBERON:feces	Colon	Stool			56	anti-IL12 mAb		4		2	1.4							
Sample 10218				MiSeq_1	V4		mouse	21	Colon	UBERON:feces	Colon	Stool			56	anti-IL10 mAb		5		0	0.2							
Sample 10219				MiSeq_1	V4		mouse	22	Colon	UBERON:feces	Colon	Stool			56	anti-IL10 mAb		5		2	0.4							
Sample 10220				MiSeq_1	V4		mouse	23	Colon	UBERON:feces	Colon	Stool			56	anti-IL10 mAb		5		0	0.2							
Sample 10221				MiSeq_1	V4		mouse	24	Colon	UBERON:feces	Colon	Stool			56	anti-IL10 mAb		5		2	1.2							
Sample 10222				MiSeq_1	V4		mouse	25	Colon	UBERON:feces	Colon	Stool			56	anti-IL10 mAb		5		0	0.2							
Sample 10223				MiSeq_1	V4		mouse	26	Colon	UBERON:feces	Colon	Stool			56	anti-IL10 mAb		6		2	0.8							
Sample 10224				MiSeq_1	V4		mouse	27	Colon	UBERON:feces	Colon	Stool			56	anti-IL10 mAb		6		0	0.2							
Sample 10225				MiSeq_1	V4		mouse	28	Colon	UBERON:feces	Colon	Stool			56	anti-IL10 mAb		6		2	1.5							
Sample 10226				MiSeq_1	V4		mouse	29	Colon	UBERON:feces	Colon	Stool			56	anti-IL10 mAb		6		0	0.2							
Sample 10227				MiSeq_1	V4		mouse	1	Colon	UBERON:feces	Colon	Stool			70	Isotype control antibody		1		1	1.1							
Sample 10228				MiSeq_1	V4		mouse	2	Colon	UBERON:feces	Colon	Stool			70	Isotype control antibody		1		0	0.2							
Sample 10229				MiSeq_1	V4		mouse	3	Colon	UBERON:feces	Colon	Stool			70	Isotype control antibody		1		1	0.6							
Sample 10230				MiSeq_1	V4		mouse	4	Colon	UBERON:feces	Colon	Stool			70	Isotype control antibody		1		0	0.2							
Sample 10231				MiSeq_1	V4		mouse	5	Colon	UBERON:feces	Colon	Stool			70	Isotype control antibody		1		5	2							
Sample 10232				MiSeq_1	V4		mouse	6	Colon	UBERON:feces	Colon	Stool			70	Isotype control antibody		2		0	0.2							
Sample 10233				MiSeq_1	V4		mouse	7	Colon	UBERON:feces	Colon	Stool			70	Isotype control antibody		2		4	1.6							
Sample 10234				MiSeq_1	V4		mouse	8	Colon	UBERON:feces	Colon	Stool			70	Isotype control antibody		2		0	0.2							
Sample 10235				MiSeq_1	V4		mouse	9	Colon	UBERON:feces	Colon	Stool			70	Isotype control antibody		2		4	2.4							
Sample 10236				MiSeq_1	V4		mouse	10	Colon	UBERON:feces	Colon	Stool			70	Isotype control antibody		2		0	0.2							
Sample 10237				MiSeq_1	V4		mouse	21	Colon	UBERON:feces	Colon	Stool			70	anti-IL10 mAb		5		3	1.4							
Sample 10238				MiSeq_1	V4		mouse	22	Colon	UBERON:feces	Colon	Stool			70	anti-IL10 mAb		5		0	0.2							
Sample 10239				MiSeq_1	V4		mouse	23	Colon	UBERON:feces	Colon	Stool			70	anti-IL10 mAb		5		3	0.9							
Sample 10240				MiSeq_1	V4		mouse	24	Colon	UBERON:feces	Colon	Stool			70	anti-IL10 mAb		5		0	0.2							
Sample 10327				MiSeq_1	V4		mouse	18	Colon	UBERON:feces	Colon	Stool			14	anti-IL12 mAb		4		3	2							
Sample 10328				MiSeq_1	V4		mouse	3	Colon	UBERON:feces	Colon	Stool			28	Isotype control antibody		1		0	0.2							
Sample 10332				MiSeq_1	V4		mouse	15	Colon	UBERON:feces	Colon	Stool			4 reextract	anti-IL12 mAb		3		4	1.8							
Sample 10241				MiSeq_1	V4		mouse	25	Colon	UBERON:feces	Colon	Stool			70	anti-IL10 mAb		5		0	0.2							
Sample 10242				MiSeq_1	V4		mouse	26	Colon	UBERON:feces	Colon	Stool			70	anti-IL10 mAb		6		3	2							
Sample 10243				MiSeq_1	V4		mouse	27	Colon	UBERON:feces	Colon	Stool			70	anti-IL10 mAb		6		0	0.2							
Sample 10244				MiSeq_1	V4		mouse	28	Colon	UBERON:feces	Colon	Stool			70	anti-IL10 mAb		6		4	1.8							
Sample 10245				MiSeq_1	V4		mouse	29	Colon	UBERON:feces	Colon	Stool			70	anti-IL10 mAb		6		0	0.2							
Sample 10246				MiSeq_1	V4		mouse	30	Colon	UBERON:feces	Colon	Stool			70	anti-IL10 mAb		6		4	3.3							
Sample 10248				MiSeq_1	V4		mouse	1	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		1		0	0.2							
Sample 10249				MiSeq_1	V4		mouse	2	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		1		2	1.2							
Sample 10250				MiSeq_1	V4		mouse	3	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		1		0	0.2							
Sample 10251				MiSeq_1	V4		mouse	4	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		1		2	0.9							
Sample 10252				MiSeq_1	V4		mouse	5	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		1		0	0.2							
Sample 10333				MiSeq_1	V4		mouse	3	Colon	UBERON:feces	Colon	Stool			56	Isotype control antibody		1		2	0.9							
Sample 10334				MiSeq_1	V4		mouse	5	Colon	UBERON:feces	Colon	Stool			56	Isotype control antibody		1		0	0.2							
Sample 10335				MiSeq_1	V4		mouse	9	Colon	UBERON:feces	Colon	Stool			56	Isotype control antibody		2		2	0.9							
Sample 10336				MiSeq_1	V4		mouse	10	Colon	UBERON:feces	Colon	Stool			56	Isotype control antibody		2		0	0.2							
Sample 10337				MiSeq_1	V4		mouse	11	Colon	UBERON:feces	Colon	Stool			56	anti-IL12 mAb		3		2	1							
Sample 10338				MiSeq_1	V4		mouse	12	Colon	UBERON:feces	Colon	Stool			56	anti-IL12 mAb		3		0	0.2							
Sample 10339				MiSeq_1	V4		mouse	13	Colon	UBERON:feces	Colon	Stool			56	anti-IL12 mAb		3		3	0.9							
Sample 10340				MiSeq_1	V4		mouse	14	Colon	UBERON:feces	Colon	Stool			56	anti-IL12 mAb		3		0	0.2							
Sample 10341				MiSeq_1	V4		mouse	15	Colon	UBERON:feces	Colon	Stool			56	anti-IL12 mAb		3		3	1							
Sample 10342				MiSeq_1	V4		mouse	16	Colon	UBERON:feces	Colon	Stool			56	anti-IL12 mAb		4		0	0.2							
Sample 10343				MiSeq_1	V4		mouse	17	Colon	UBERON:feces	Colon	Stool			56	anti-IL12 mAb		4		3	0.8							
Sample 10344				MiSeq_1	V4		mouse	18	Colon	UBERON:feces	Colon	Stool			56	anti-IL12 mAb		4		0	0.2							
Sample 10253				MiSeq_1	V4		mouse	6	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		2		3	1.4							
Sample 10254				MiSeq_1	V4		mouse	7	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		2		0	0.2							
Sample 10255				MiSeq_1	V4		mouse	8	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		2		3	1.3							
Sample 10256				MiSeq_1	V4		mouse	9	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		2		0	0.2							
Sample 10257				MiSeq_1	V4		mouse	10	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		2										
Sample 10258				MiSeq_1	V4		mouse	21	Colon	UBERON:feces	Colon	Stool			84	anti-IL10 mAb		5		4	0.6							
Sample 10259				MiSeq_1	V4		mouse	22	Colon	UBERON:feces	Colon	Stool			84	anti-IL10 mAb		5		0	0.2							
Sample 10260				MiSeq_1	V4		mouse	23	Colon	UBERON:feces	Colon	Stool			84	anti-IL10 mAb		5		1	0.7							
Sample 10261				MiSeq_1	V4		mouse	24	Colon	UBERON:feces	Colon	Stool			84	anti-IL10 mAb		5		0	0.2							
Sample 10262				MiSeq_1	V4		mouse	25	Colon	UBERON:feces	Colon	Stool			84	anti-IL10 mAb		5		1	0.4							
Sample 10263				MiSeq_1	V4		mouse	26	Colon	UBERON:feces	Colon	Stool			84	anti-IL10 mAb		6		0	0.2							
Sample 10264				MiSeq_1	V4		mouse	27	Colon	UBERON:feces	Colon	Stool			84	anti-IL10 mAb		6		4	0.8							
Sample 10345				MiSeq_1	V4		mouse	19	Colon	UBERON:feces	Colon	Stool			42	anti-IL12 mAb		4		0	0.2							
Sample 10346				MiSeq_1	V4		mouse	20	Colon	UBERON:feces	Colon	Stool			42	anti-IL12 mAb		4		2	0.4							
Sample 10347				MiSeq_1	V4		mouse	21	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		5		0	0.2							
Sample 10348				MiSeq_1	V4		mouse	23	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		5		4	0.6							
Sample 10349				MiSeq_1	V4		mouse	24	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		5		0	0.2							
Sample 10350				MiSeq_1	V4		mouse	25	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		5		2	0.5							
Sample 10351				MiSeq_1	V4		mouse	26	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		6		0	0.2							
Sample 10352				MiSeq_1	V4		mouse	27	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		6		1	0.5							
Sample 10353				MiSeq_1	V4		mouse	28	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		6		0	0.2							
Sample 10354				MiSeq_1	V4		mouse	29	Colon	UBERON:feces	Colon	Stool			42	anti-IL10 mAb		6		1	0.5							
Sample 10355				MiSeq_1	V4		mouse	1	Colon	UBERON:feces	Colon	Stool			56	Isotype control antibody		1		0	0.2							
Sample 10356				MiSeq_1	V4		mouse	6	Colon	UBERON:feces	Colon	Stool			56	Isotype control antibody		2		1	0.6							
Sample 10265				MiSeq_1	V4		mouse	28	Colon	UBERON:feces	Colon	Stool			70	anti-IL10 mAb		6		0	0.2							
Sample 10266				MiSeq_1	V4		mouse	29	Colon	UBERON:feces	Colon	Stool			70	anti-IL10 mAb		6		2	0.8							
Sample 10267				MiSeq_1	V4		mouse	30	Colon	UBERON:feces	Colon	Stool			70	anti-IL10 mAb		6		0	0.2							
Sample 10268				MiSeq_1	V4		mouse	1	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		1		1	0.5							
Sample 10269				MiSeq_1	V4		mouse	2	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		1		0	0.2							
Sample 10270				MiSeq_1	V4		mouse	3	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		1		1	0.6							
Sample 10271				MiSeq_1	V4		mouse	4	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		1		0	0.2							
Sample 10272				MiSeq_1	V4		mouse	5	Colon	UBERON:feces	Colon	Stool			84	Isotype control antibody		1		1	0.8							
