name	description	sourcemtoverride	samplemtoverride	region	host_subject_id	host_common_name	title	Timepoint post-treatment	phenotype	Breed_Strain	host_sex	CCECAI	body_habitat	body_product	body_site	sample_type	env_feature
11207	Bandit_d0_DogStomach			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Mixed	Male	2	Stomach	gastric juice	Stomach	Stomach biopsy	ENVO:animal-associated habitat
11517	Bandit_d42_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Non-diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11524	Bandit_d0_DogRectal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Mixed	Male	2	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11527	Bandit_d28_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	28	Non-diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11528	Bandit_d42_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Non-diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11535	Bandit_d0_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Mixed	Male	2	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11536	Bandit_d14_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Non-diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11553	Bandit_d28_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	28	Non-diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11554	Bandit_d42_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Non-diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11559	Bandit_d0_DogRectal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Mixed	Male	2	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11566	Bandit_d0_DogRectal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Mixed	Male	2	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
12227	Bandit_d28_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	28	Non-diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10641	Bebe_d0_DogRectal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Cocker Spaniel	Female	3	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10642	Bebe_d56_DogRectal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	56	Diet responsive	Cocker Spaniel	Female		Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10808	Bebe_d14_DogFecal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Diet responsive	Cocker Spaniel	Female	0	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10814	Bebe_d0_DogFecal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Cocker Spaniel	Female	3	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10817	Bebe_d28_DogFecal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	28	Diet responsive	Cocker Spaniel	Female	0	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10867	Bebe_d0_DogRectal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Cocker Spaniel	Female	3	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10868	Bebe_d42_DogRectal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Cocker Spaniel	Female	0	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10947	Bebe_d0_DogFecal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Cocker Spaniel	Female	3	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10957	Bebe_d0_DogRectal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Cocker Spaniel	Female	3	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11109	Bebe_d0_DogRectal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Cocker Spaniel	Female	3	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11513	Bebe_d0_DogRectal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Cocker Spaniel	Female	3	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11514	Bebe_d56_DogRectal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	56	Diet responsive	Cocker Spaniel	Female		Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11534	Bebe_d0_DogFecal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Cocker Spaniel	Female	3	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11555	Bebe_d0_DogFecal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Cocker Spaniel	Female	3	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11561	Bebe_d0_DogRectal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Cocker Spaniel	Female	3	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11567	Bebe_d0_DogRectal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Cocker Spaniel	Female	3	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11874	Bebe_d0_DogRectal			V4	C166_03	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Cocker Spaniel	Female	3	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10590	Bella_d0_DogRectal			V4	C166_15	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Protein-losing enteropathy	Mixed	Female	6	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10595	Bella_d14_DogRectal			V4	C166_15	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Protein-losing enteropathy	Mixed	Female	9	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10706	Bella_d14_DogFecal			V4	C166_15	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Protein-losing enteropathy	Mixed	Female	9	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10716	Bella_d0_DogFecal			V4	C166_15	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Protein-losing enteropathy	Mixed	Female	6	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11193	Bella_d0_DogDuodenum			V4	C166_15	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Protein-losing enteropathy	Mixed	Female	6	Duodenum	bodily fluid	Duodenum	Duodenum biopsy	ENVO:animal-associated habitat
11220	Bella_d0_DogStomach			V4	C166_15	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Protein-losing enteropathy	Mixed	Female	6	Stomach	gastric juice	Stomach	Stomach biopsy	ENVO:animal-associated habitat
11511	Bella_d14_DogRectal			V4	C166_15	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Protein-losing enteropathy	Mixed	Female	9	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10578	Brock_d0_DogRectal			V4	C166_12	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Mixed	Male	7	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10592	Brock_d42_DogRectal			V4	C166_12	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Mixed	Male	0	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10695	Brock_d42_DogFecal			V4	C166_12	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Mixed	Male	0	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10847	Brock_d0_DogFecal			V4	C166_12	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Mixed	Male	7	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10848	Brock_d14_DogFecal			V4	C166_12	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Diet responsive	Mixed	Male	0	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10849	Brock_d28_DogFecal			V4	C166_12	Dog	Dietary Therapy In Canine Chronic Enteritis	28	Diet responsive	Mixed	Male	0	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11190	Brock_d0_DogDuodenum			V4	C166_12	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Mixed	Male	7	Duodenum	bodily fluid	Duodenum	Duodenum biopsy	ENVO:animal-associated habitat
11217	Brock_d0_DogStomach			V4	C166_12	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Mixed	Male	7	Stomach	gastric juice	Stomach	Stomach biopsy	ENVO:animal-associated habitat
11570	Brock_d0_DogDuodenum			V4	C166_12	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Mixed	Male	7	Duodenum	bodily fluid	Duodenum	Duodenum biopsy	ENVO:animal-associated habitat
10574	Buddy_d_DogRectal			V4	C166_17	Dog	Dietary Therapy In Canine Chronic Enteritis		Protein-losing enteropathy	Labrador Retriever	Male		Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10585	Buddy_d0_DogRectal			V4	C166_17	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Protein-losing enteropathy	Labrador Retriever	Male	6	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10654	Buddy_d0_DogFecal			V4	C166_17	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Protein-losing enteropathy	Labrador Retriever	Male	6	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10655	Buddy_d14_DogFecal			V4	C166_17	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Protein-losing enteropathy	Labrador Retriever	Male	6	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10887	Buddy_d0_DogFecal			V4	C166_17	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Protein-losing enteropathy	Labrador Retriever	Male	6	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11195	Buddy_d0_DogDuodenum			V4	C166_17	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Protein-losing enteropathy	Labrador Retriever	Male	6	Duodenum	bodily fluid	Duodenum	Duodenum biopsy	ENVO:animal-associated habitat
11222	Buddy_d0_DogStomach			V4	C166_17	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Protein-losing enteropathy	Labrador Retriever	Male	6	Stomach	gastric juice	Stomach	Stomach biopsy	ENVO:animal-associated habitat
10636	Bugsy_d0_DogRectal			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Mixed	Male	4	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10645	Bugsy_d42_DogRectal			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Mixed	Male	1	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10818	Bugsy_d14_DogFecal			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10819	Bugsy_d28_DogFecal			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	28	Diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10820	Bugsy_d42_DogFecal			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10828	Bugsy_d0_DogFecal			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Mixed	Male	4	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10870	Bugsy_d42_DogRectal			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Mixed	Male	1	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10958	Bugsy_d42_DogRectal			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Mixed	Male	1	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11107	Bugsy_d42_DogRectal			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Mixed	Male	1	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11184	Bugsy_d0_DogDuodenum			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Mixed	Male	4	Duodenum	bodily fluid	Duodenum	Duodenum biopsy	ENVO:animal-associated habitat
11185	Bugsy_d0_DogDuodenum			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Mixed	Male	4	Duodenum	bodily fluid	Duodenum	Duodenum biopsy	ENVO:animal-associated habitat
11210	Bugsy_d0_DogStomach			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Mixed	Male	4	Stomach	gastric juice	Stomach	Stomach biopsy	ENVO:animal-associated habitat
11525	Bugsy_d42_DogRectal			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Mixed	Male	1	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11562	Bugsy_d42_DogRectal			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Mixed	Male	1	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11568	Bugsy_d0_DogDuodenum			V4	C166_06	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Mixed	Male	4	Duodenum	bodily fluid	Duodenum	Duodenum biopsy	ENVO:animal-associated habitat
12626	Charlie_d_DogFecal			V4	C166_control_7	Dog	Dietary Therapy In Canine Chronic Enteritis		Healthy				Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
12622	Charlotte_d_DogFecal			V4	C166_control_3	Dog	Dietary Therapy In Canine Chronic Enteritis		Healthy				Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
12621	Chestnut_d_DogFecal			V4	C166_control_2	Dog	Dietary Therapy In Canine Chronic Enteritis		Healthy				Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
12624	Crash _d_DogFecal			V4	C166_control_5	Dog	Dietary Therapy In Canine Chronic Enteritis		Healthy				Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11203	Daphne_d0_DogDuodenum			V4	C166_24	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Husky	Female	5	Duodenum	bodily fluid	Duodenum	Duodenum biopsy	ENVO:animal-associated habitat
11229	Daphne_d0_DogStomach			V4	C166_24	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Husky	Female	5	Stomach	gastric juice	Stomach	Stomach biopsy	ENVO:animal-associated habitat
11578	Daphne_d0_DogDuodenum			V4	C166_24	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Husky	Female	5	Duodenum	bodily fluid	Duodenum	Duodenum biopsy	ENVO:animal-associated habitat
11728	Daphne_d0_DogFecal			V4	C166_24	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Husky	Female	5	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11729	Daphne_d14_DogFecal			V4	C166_24	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Diet responsive	Husky	Female	3	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11730	Daphne_d28_DogFecal			V4	C166_24	Dog	Dietary Therapy In Canine Chronic Enteritis	28	Diet responsive	Husky	Female	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11731	Daphne_d42_DogFecal			V4	C166_24	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Husky	Female	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11758	Daphne_d0_DogFecal			V4	C166_24	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Husky	Female	5	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11765	Daphne_d42_DogRectal			V4	C166_24	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Husky	Female	1	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
12188	Daphne_d14_DogFecal			V4	C166_24	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Diet responsive	Husky	Female	3	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
12189	Daphne_d42_DogFecal			V4	C166_24	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Husky	Female	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
12751	Daphne_d28_DogFecal			V4	C166_24	Dog	Dietary Therapy In Canine Chronic Enteritis	28	Diet responsive	Husky	Female	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11700	Georgio_d0_DogFecal			V4	C166_32	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Greyhound	Male	3	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11701	Georgio_d14_DogFecal			V4	C166_32	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Diet responsive	Greyhound	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11702	Georgio_d42_DogFecal			V4	C166_32	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Greyhound	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11712	Georgio_d0_DogRectal			V4	C166_32	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Greyhound	Male	3	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11713	Georgio_d42_DogRectal			V4	C166_32	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Greyhound	Male	1	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11794	Georgio_d28_DogFecal			V4	C166_32	Dog	Dietary Therapy In Canine Chronic Enteritis	28	Diet responsive	Greyhound	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
11796	Georgio_d0_DogDuodenum			V4	C166_32	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Greyhound	Male	3	Duodenum	bodily fluid	Duodenum	Duodenum biopsy	ENVO:animal-associated habitat
11863	Georgio_d0_DogStomach			V4	C166_32	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Greyhound	Male	3	Stomach	gastric juice	Stomach	Stomach biopsy	ENVO:animal-associated habitat
12190	Georgio_d0_DogRectal			V4	C166_32	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Diet responsive	Greyhound	Male	3	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
12191	Georgio_d42_DogRectal			V4	C166_32	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Diet responsive	Greyhound	Male	1	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10581	Gidget_d42_DogRectal			V4	C166_10	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Non-diet responsive	Yorkshire Terrier	Female	0	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10582	Gidget_d0_DogRectal			V4	C166_10	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Yorkshire Terrier	Female	5	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10832	Gidget_d0_DogFecal			V4	C166_10	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Yorkshire Terrier	Female	5	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10841	Gidget_d14_DogFecal			V4	C166_10	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Non-diet responsive	Yorkshire Terrier	Female	4	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10845	Gidget_d28_DogFecal			V4	C166_10	Dog	Dietary Therapy In Canine Chronic Enteritis	28	Non-diet responsive	Yorkshire Terrier	Female	3	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10846	Gidget_d42_DogFecal			V4	C166_10	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Non-diet responsive	Yorkshire Terrier	Female	0	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10872	Gidget_d42_DogRectal			V4	C166_10	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Non-diet responsive	Yorkshire Terrier	Female	0	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10913	Gidget_d42_DogFecal			V4	C166_10	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Non-diet responsive	Yorkshire Terrier	Female	0	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10950	Gidget_d42_DogRectal			V4	C166_10	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Non-diet responsive	Yorkshire Terrier	Female	0	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11188	Gidget_d0_DogDuodenum			V4	C166_10	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Yorkshire Terrier	Female	5	Duodenum	bodily fluid	Duodenum	Duodenum biopsy	ENVO:animal-associated habitat
11215	Gidget_d0_DogStomach			V4	C166_10	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Yorkshire Terrier	Female	5	Stomach	gastric juice	Stomach	Stomach biopsy	ENVO:animal-associated habitat
11509	Gidget_d0_DogRectal			V4	C166_10	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Yorkshire Terrier	Female	5	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11522	Gidget_d42_DogRectal			V4	C166_10	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Non-diet responsive	Yorkshire Terrier	Female	0	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11544	Gidget_d42_DogFecal			V4	C166_10	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Non-diet responsive	Yorkshire Terrier	Female	0	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
