name	description	sourcemtoverride	samplemtoverride	run_prefix_prep	region	case_control	Parasite_found_species	Parasite_found_type	host_common_name	VHUP_#	title	host_sex	Animal sterilization	age	body_habitat	body_product	body_site	sample_type
Sample 12769				11	V4	Case	Giardia	Protozoan	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.33 years	Colon	UBERON:feces	Colon	Stool
Sample 12770				11	V4	Case	Giardia	Protozoan	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	0.4 years	Colon	UBERON:feces	Colon	Stool
Sample 12771				11	V4	Case	Giardia	Protozoan	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.33 years	Colon	UBERON:feces	Colon	Stool
Sample 12772				11	V4	Case	Trichuris vulpis	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	2 years	Colon	UBERON:feces	Colon	Stool
Sample 12773				11	V4	Case	Trichuris vulpis	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	4 years	Colon	UBERON:feces	Colon	Stool
Sample 12774				11	V4	Case	Ancylostoma caninum	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	9 years	Colon	UBERON:feces	Colon	Stool
Sample 12775				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	9 years	Colon	UBERON:feces	Colon	Stool
Sample 12776				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	8 years	Colon	UBERON:feces	Colon	Stool
Sample 12777				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	9 years	Colon	UBERON:feces	Colon	Stool
Sample 12778				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	9 years	Colon	UBERON:feces	Colon	Stool
Sample 12779				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12780				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12781				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12782_12890				NA	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12783				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	11 years	Colon	UBERON:feces	Colon	Stool
Sample 12784				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	11 years	Colon	UBERON:feces	Colon	Stool
Sample 12785				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	9 years	Colon	UBERON:feces	Colon	Stool
Sample 12786				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	9 years	Colon	UBERON:feces	Colon	Stool
Sample 12787				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	11 years	Colon	UBERON:feces	Colon	Stool
Sample 12788				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	11 years	Colon	UBERON:feces	Colon	Stool
Sample 12789				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	8 years	Colon	UBERON:feces	Colon	Stool
Sample 12790_12888				NA	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	8 years	Colon	UBERON:feces	Colon	Stool
Sample 12791				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	3 years	Colon	UBERON:feces	Colon	Stool
Sample 12792				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	3 years	Colon	UBERON:feces	Colon	Stool
Sample 12793				11	V4	Case	Dipylidium caninum	Tapeworm	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	3 years	Colon	UBERON:feces	Colon	Stool
Sample 12794				11	V4	Giardia	Giardia	Protozoan	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12795				11	V4	Giardia	Giardia	Protozoan	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1.33 years	Colon	UBERON:feces	Colon	Stool
Sample 12796				11	V4	Case	Toxocara canis	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	0.2 years	Colon	UBERON:feces	Colon	Stool
Sample 12797				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	0.2 years	Colon	UBERON:feces	Colon	Stool
Sample 12798				11	V4	Case	Capillaria boehmi	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	2 years	Colon	UBERON:feces	Colon	Stool
Sample 12799				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	3 years	Colon	UBERON:feces	Colon	Stool
Sample 12800				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	4 years	Colon	UBERON:feces	Colon	Stool
Sample 12801				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12802				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12803				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.17 years	Colon	UBERON:feces	Colon	Stool
Sample 12804				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	8 years	Colon	UBERON:feces	Colon	Stool
Sample 12805				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	3 years	Colon	UBERON:feces	Colon	Stool
Sample 12806				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	0.5 years	Colon	UBERON:feces	Colon	Stool
Sample 12807				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	8 years	Colon	UBERON:feces	Colon	Stool
Sample 12808				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	4 years	Colon	UBERON:feces	Colon	Stool
Sample 12809				11	V4	Case	Trichuris vulpis	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	5 years	Colon	UBERON:feces	Colon	Stool
Sample 12810				11	V4	Case	Cystoisospora ohioensis	Protozoan (coccidian)	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.17 years	Colon	UBERON:feces	Colon	Stool
Sample 12811				11	V4	Case	Eimeria spp	Protozoan (coccidian)	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12812				11	V4	Case	Giardia	Protozoan	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	3 years	Colon	UBERON:feces	Colon	Stool
Sample 12813				11	V4	Case	Giardia	Protozoan	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	0.92 years	Colon	UBERON:feces	Colon	Stool
Sample 12814				11	V4	Case	Giardia	Protozoan	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	4 years	Colon	UBERON:feces	Colon	Stool
Sample 12815				11	V4	Case	Giardia	Protozoan	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.17 years	Colon	UBERON:feces	Colon	Stool
Sample 12818				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	2 years	Colon	UBERON:feces	Colon	Stool
Sample 12819				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12820_12891				NA	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	3 years	Colon	UBERON:feces	Colon	Stool
Sample 12821				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	4 years	Colon	UBERON:feces	Colon	Stool
Sample 12822_12889				NA	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.17 years	Colon	UBERON:feces	Colon	Stool
Sample 12823				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	4 years	Colon	UBERON:feces	Colon	Stool
Sample 12824				11	V4	Case	Ancylostoma caninum	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	5 years	Colon	UBERON:feces	Colon	Stool
Sample 12825				11	V4	Case	Ancylostoma caninum	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	5 years	Colon	UBERON:feces	Colon	Stool
Sample 12826				11	V4	Case	Capillaria boehmi	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12827				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	5 years	Colon	UBERON:feces	Colon	Stool
Sample 12828				11	V4	Case	Cystoisospora ohioensis	Protozoan (coccidian)	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.125 years	Colon	UBERON:feces	Colon	Stool
Sample 12829				11	V4	Case	Trichuris vulpis	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	4 years	Colon	UBERON:feces	Colon	Stool
Sample 12830				11	V4	Case	Ancylostoma caninum	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	0.75 years	Colon	UBERON:feces	Colon	Stool
Sample 12831				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12832				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	13 years	Colon	UBERON:feces	Colon	Stool
Sample 12833				11	V4	Case	Ancylostoma caninum	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	4 years	Colon	UBERON:feces	Colon	Stool
Sample 12834				11	V4	Case	Ancylostoma caninum	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	1.8 years	Colon	UBERON:feces	Colon	Stool
Sample 12835				11	V4	Case	Toxocara canis	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	1.5 years	Colon	UBERON:feces	Colon	Stool
Sample 12836				11	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	17 years	Colon	UBERON:feces	Colon	Stool
Sample 12837				11	V4	Case	Toxocara canis	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	0.17 years	Colon	UBERON:feces	Colon	Stool
Sample 12838				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	13 years	Colon	UBERON:feces	Colon	Stool
Sample 12839				11	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	17 years	Colon	UBERON:feces	Colon	Stool
Sample 12842				12	V4	Case	Multiple	Multiple	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.33 years	Colon	UBERON:feces	Colon	Stool
Sample 12843				12	V4	Case	Multiple	Multiple	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12844				12	V4	Case	Multiple	Multiple	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	2 years	Colon	UBERON:feces	Colon	Stool
Sample 12845				12	V4	Case	Multiple	Multiple	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.4 years	Colon	UBERON:feces	Colon	Stool
Sample 12846				12	V4	Case	Multiple	Multiple	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	5 years	Colon	UBERON:feces	Colon	Stool
Sample 12847				12	V4	Case	Multiple	Multiple	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	2 years	Colon	UBERON:feces	Colon	Stool
Sample 12848				12	V4	Case	Multiple	Multiple	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12849				12	V4	Case	Trichuris vulpis	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1.83 years	Colon	UBERON:feces	Colon	Stool
Sample 12850				12	V4	Case	Multiple	Multiple	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.17 years	Colon	UBERON:feces	Colon	Stool
Sample 12851				12	V4	Case	Multiple	Multiple	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	1.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12852				12	V4	Case	Cystoisospora canis	Protozoan (coccidian)	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12853				12	V4	Case	Cystoisospora ohioensis	Protozoan (coccidian)	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.5 years	Colon	UBERON:feces	Colon	Stool
Sample 12854				12	V4	Case	Cystoisospora canis	Protozoan (coccidian)	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.2 years	Colon	UBERON:feces	Colon	Stool
Sample 12855				12	V4	Case	Multiple	Multiple	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12856				12	V4	Case	Cystoisospora ohioensis	Protozoan (coccidian)	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	4 years	Colon	UBERON:feces	Colon	Stool
Sample 12857				12	V4	Case	Trichuris vulpis	Helminth	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.6 years	Colon	UBERON:feces	Colon	Stool
Sample 12858				12	V4	Case	Giardia	Protozoan	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.13 years	Colon	UBERON:feces	Colon	Stool
Sample 12859				12	V4	Case	Giardia	Protozoan	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.13 years	Colon	UBERON:feces	Colon	Stool
Sample 12860				12	V4	Case	Giardia	Protozoan	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.13 years	Colon	UBERON:feces	Colon	Stool
Sample 12861				12	V4	Case	Giardia	Protozoan	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	4 years	Colon	UBERON:feces	Colon	Stool
Sample 12862				12	V4	Case	Giardia	Protozoan	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.2 years	Colon	UBERON:feces	Colon	Stool
Sample 12863				12	V4	Case	Giardia	Protozoan	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.4 years	Colon	UBERON:feces	Colon	Stool
Sample 12864				12	V4	Case	Giardia	Protozoan	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12865				12	V4	Case	Ancylostoma caninum	Helminth	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12866				12	V4	Case	Giardia	Protozoan	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12867				12	V4	Case	Multiple	Multiple	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	0.75 years	Colon	UBERON:feces	Colon	Stool
Sample 12868				12	V4	Case	Cystoisospora canis	Protozoan (coccidian)	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	0.33 years	Colon	UBERON:feces	Colon	Stool
Sample 12869				12	V4	Case	Cystoisospora ohioensis	Protozoan (coccidian)	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	0.5 years	Colon	UBERON:feces	Colon	Stool
Sample 12870				12	V4	Case	Multiple	Multiple	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	0.4 years	Colon	UBERON:feces	Colon	Stool
Sample 12871				12	V4	Case	Toxocara canis	Helminth	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	0.6 years	Colon	UBERON:feces	Colon	Stool
Sample 12872				12	V4	Case	Cystoisospora ohioensis	Protozoan (coccidian)	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	0.3 years	Colon	UBERON:feces	Colon	Stool
Sample 12873				12	V4	Case	Giardia	Protozoan	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	0.5 years	Colon	UBERON:feces	Colon	Stool
Sample 12874				12	V4	Case	Giardia	Protozoan	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	0.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12875				12	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	4.5 years	Colon	UBERON:feces	Colon	Stool
Sample 12876				12	V4	Case	Giardia	Protozoan	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	2.2 years	Colon	UBERON:feces	Colon	Stool
Sample 12877				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.33 years	Colon	UBERON:feces	Colon	Stool
Sample 12878				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	2 years	Colon	UBERON:feces	Colon	Stool
Sample 12879				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12880				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	2 years	Colon	UBERON:feces	Colon	Stool
Sample 12881				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	0.4 years	Colon	UBERON:feces	Colon	Stool
Sample 12882				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	3 years	Colon	UBERON:feces	Colon	Stool
Sample 12883				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	4 years	Colon	UBERON:feces	Colon	Stool
Sample 12884				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.17 years	Colon	UBERON:feces	Colon	Stool
Sample 12885				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12886				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	5 years	Colon	UBERON:feces	Colon	Stool
Sample 12892				12	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	6 years	Colon	UBERON:feces	Colon	Stool
Sample 12893				12	V4	Case	Giardia	Protozoan	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	14 years	Colon	UBERON:feces	Colon	Stool
Sample 12894				12	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	7 years	Colon	UBERON:feces	Colon	Stool
Sample 12895				12	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	12 years	Colon	UBERON:feces	Colon	Stool
Sample 12896				12	V4	Case	Trichuris vulpis	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	10 years	Colon	UBERON:feces	Colon	Stool
Sample 12897				12	V4	Case	Multiple	Multiple	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.83 years	Colon	UBERON:feces	Colon	Stool
Sample 12898				12	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	11 years	Colon	UBERON:feces	Colon	Stool
Sample 12899				12	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	3 years	Colon	UBERON:feces	Colon	Stool
Sample 12902				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12903				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12904				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.33 years	Colon	UBERON:feces	Colon	Stool
Sample 12905				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1.4 years	Colon	UBERON:feces	Colon	Stool
Sample 12906				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1.33 years	Colon	UBERON:feces	Colon	Stool
Sample 12907				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	12 years	Colon	UBERON:feces	Colon	Stool
Sample 12908				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.4 years	Colon	UBERON:feces	Colon	Stool
Sample 12909				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.33 years	Colon	UBERON:feces	Colon	Stool
Sample 12910				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	3 years	Colon	UBERON:feces	Colon	Stool
Sample 12911				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.17 years	Colon	UBERON:feces	Colon	Stool
Sample 12912				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.17 years	Colon	UBERON:feces	Colon	Stool
