Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[country]	Characteristics[organism]	Characteristics[organism ID]	Characteristics[parasite organism]	Characteristics[parasite strain]	Characteristics[specimen]
RV_3731	ERS011004:  Illumina sequencing for isolate RV_3731; library PA0051-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 32	Plasmodium falciparum	Plasmodium falciparum RV_3731	specimen from organism
RV_3736	ERS010070:  Illumina sequencing for isolate RV_3736; library PA0052-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 33	Plasmodium falciparum	Plasmodium falciparum RV_3736	specimen from organism
RV_3739	ERS009967:  Illumina sequencing for isolate RV_3739; library PA0053-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 34	Plasmodium falciparum	Plasmodium falciparum RV_3739	specimen from organism
RV_3741	ERS011013:  Illumina sequencing for isolate RV_3741; library PA0054-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 35	Plasmodium falciparum	Plasmodium falciparum RV_3741	specimen from organism
RV_3764	ERS011002:  Illumina sequencing for isolate RV_3764; library PA0056-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 36	Plasmodium falciparum	Plasmodium falciparum RV_3764	specimen from organism
RV_3769	ERS011016:  Illumina sequencing for isolate RV_3769; library PA0057-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 37	Plasmodium falciparum	Plasmodium falciparum RV_3769	specimen from organism
BM_0009	ERS011009:  Illumina sequencing for isolate BM_0009; library PA0059-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 38	Plasmodium falciparum	Plasmodium falciparum BM_0009	specimen from organism
BM_0008	ERS009670:  Illumina sequencing for isolate BM_0008; library PA0061-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 39	Plasmodium falciparum	Plasmodium falciparum BM_0008	specimen from organism
TRIPS_364	ERS011012:  Illumina sequencing for isolate TRIPS_364; library PA0064-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 40	Plasmodium falciparum	Plasmodium falciparum TRIPS_364	specimen from organism
TRIPS_410	ERS010079:  Illumina sequencing for isolate TRIPS_410; library PA0065-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 41	Plasmodium falciparum	Plasmodium falciparum TRIPS_410	specimen from organism
TRIPS_437	ERS011019:  Illumina sequencing for isolate TRIPS_437; library PA0067-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 42	Plasmodium falciparum	Plasmodium falciparum TRIPS_437	specimen from organism
TRIPS_467	ERS009970:  Illumina sequencing for isolate TRIPS_467; library PA0068-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 43	Plasmodium falciparum	Plasmodium falciparum TRIPS_467	specimen from organism
TRIPS_470	ERS009971:  Illumina sequencing for isolate TRIPS_470; library PA0069-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 44	Plasmodium falciparum	Plasmodium falciparum TRIPS_470	specimen from organism
TRIPS_474	ERS010078:  Illumina sequencing for isolate TRIPS_474; library PA0071-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 45	Plasmodium falciparum	Plasmodium falciparum TRIPS_474	specimen from organism
TRIPS_480	ERS010076:  Illumina sequencing for isolate TRIPS_480; library PA0073-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 46	Plasmodium falciparum	Plasmodium falciparum TRIPS_480	specimen from organism
TRIPS_487	ERS010069:  Illumina sequencing for isolate TRIPS_487; library PA0074-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 47	Plasmodium falciparum	Plasmodium falciparum TRIPS_487	specimen from organism
TRIPS_490	ERS010074:  Illumina sequencing for isolate TRIPS_490; library PA0075-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 48	Plasmodium falciparum	Plasmodium falciparum TRIPS_490	specimen from organism
TRIPS_499	ERS011014:  Illumina sequencing for isolate TRIPS_499; library PA0078-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 49	Plasmodium falciparum	Plasmodium falciparum TRIPS_499	specimen from organism
TRIPS_501	ERS011008:  Illumina sequencing for isolate TRIPS_501; library PA0079-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 50	Plasmodium falciparum	Plasmodium falciparum TRIPS_501	specimen from organism
TRIPS_504	ERS009676:  Illumina sequencing for isolate TRIPS_504; library PA0081-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 51	Plasmodium falciparum	Plasmodium falciparum TRIPS_504	specimen from organism
TRIPS_301	ERS009972:  Illumina sequencing for isolate TRIPS_301; library PA0084-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 52	Plasmodium falciparum	Plasmodium falciparum TRIPS_301	specimen from organism
TRIPS_303	ERS009672:  Illumina sequencing for isolate TRIPS_303; library PA0085-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 53	Plasmodium falciparum	Plasmodium falciparum TRIPS_303	specimen from organism
TRIPS_331	ERS011011:  Illumina sequencing for isolate TRIPS_331; library PA0087-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 54	Plasmodium falciparum	Plasmodium falciparum TRIPS_331	specimen from organism
TRIPS_355	ERS011010:  Illumina sequencing for isolate TRIPS_355; library PA0089-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 55	Plasmodium falciparum	Plasmodium falciparum TRIPS_355	specimen from organism
TRIPS_433	ERS009973:  Illumina sequencing for isolate TRIPS_433; library PA0091-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 56	Plasmodium falciparum	Plasmodium falciparum TRIPS_433	specimen from organism
TRIPS_440	ERS010068:  Illumina sequencing for isolate TRIPS_440; library PA0092-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 57	Plasmodium falciparum	Plasmodium falciparum TRIPS_440	specimen from organism
TRIPS_456	ERS010077:  Illumina sequencing for isolate TRIPS_456; library PA0093-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 58	Plasmodium falciparum	Plasmodium falciparum TRIPS_456	specimen from organism
TRIPS_461	ERS011005:  Illumina sequencing for isolate TRIPS_461; library PA0094-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 59	Plasmodium falciparum	Plasmodium falciparum TRIPS_461	specimen from organism
TRIPS_700	ERS011018:  Illumina sequencing for isolate TRIPS_700; library PA0098-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 60	Plasmodium falciparum	Plasmodium falciparum TRIPS_700	specimen from organism
TRIPS_704	ERS010080:  Illumina sequencing for isolate TRIPS_704; library PA0099-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 61	Plasmodium falciparum	Plasmodium falciparum TRIPS_704	specimen from organism
TRIPS_708	ERS011020:  Illumina sequencing for isolate TRIPS_708; library PA0100-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 62	Plasmodium falciparum	Plasmodium falciparum TRIPS_708	specimen from organism
TRIPS_759	ERS009975:  Illumina sequencing for isolate TRIPS_759; library PA0101-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 63	Plasmodium falciparum	Plasmodium falciparum TRIPS_759	specimen from organism
TRIPS_373	ERS009673:  Illumina sequencing for isolate TRIPS_373; library PA0102-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 64	Plasmodium falciparum	Plasmodium falciparum TRIPS_373	specimen from organism
TRIPS_482	ERS011015:  Illumina sequencing for isolate TRIPS_482; library PA0104-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 65	Plasmodium falciparum	Plasmodium falciparum TRIPS_482	specimen from organism
