Name	Description	SourceMTOverride	SourceMTOverride	latitude	longitude	Specimen Collection Date	Characteristics [country]	alternative sample ID	Characteristics [specimen]	resistance to ireaxonazole	Characteristics [fungus organism]	Characteristics [fungal strain]
C117				51.481581	-3.17909	2016	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C117
C118				52.486243	-1.890401	2016	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C118
C119				52.205337	0.121817	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C119
C12				51.839927	-4.151486	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C12
C120				52.636878	-1.139759	2016	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C120
C121				51.486555	-0.219482	2015	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C121
C122				51.525083	-0.136355	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C122
C123				51.521879	-0.121042	2016	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C123
C124				51.488709	-0.170508	2015	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C124
C125				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C125
C126				51.488709	-0.170508	2015	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C126
C127				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C127
C128				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C128
C129				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C129
C13				51.418406	-3.370837	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C13
C130				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C130
C131				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C131
C132				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C132
C133				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C133
C134				51.488709	-0.170508	2015	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C134
C135				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C135
C136				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C136
C137				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C137
C138				51.488709	-0.170508	2015	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C138
C139				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C139
C14				51.418406	-3.370837	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C14
C140				51.488709	-0.170508	2015	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C140
C141				51.488709	-0.170508	2015	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C141
C142				51.488709	-0.170508	2015	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C142
C143				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C143
C144				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C144
C145				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C145
C146				53.800755	-1.549077	2009	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C146
C147				53.800755	-1.549077	2009	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C147
C148				53.800755	-1.549077	2009	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C148
C149				53.800755	-1.549077	2009	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C149
C15				51.418406	-3.370837	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C15
C150				53.800755	-1.549077	2009	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C150
C151				53.800755	-1.549077	2009	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C151
C152				53.800755	-1.549077	2009	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C152
C153				53.800755	-1.549077	2009	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C153
C154				53.800755	-1.549077	2009	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C154
C155				51.486555	-0.219482	2016	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C155
C156				51.486555	-0.219482	2016	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C156
C157				51.486555	-0.219482	2016	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C157
C158				51.486555	-0.219482	2016	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C158
C159				51.486555	-0.219482	2016	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C159
C16				51.474035	-3.479485	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C16
C160				51.486555	-0.219482	2016	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C160
C161				51.486555	-0.219482	2017	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C161
C162				51.486555	-0.219482	2015	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C162
C163				51.486555	-0.219482	2015	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C163
C164				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C164
C165				51.488709	-0.170508	2014	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C165
C166				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C166
C167				51.488709	-0.170508	2015	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C167
C168				51.488709	-0.170508	2016	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C168
C169				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C169
C17				51.474035	-3.479485	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C17
C170				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C170
C171				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C171
C172				51.488709	-0.170508	2016	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C172
C173				51.488709	-0.170508	2015	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C173
C174				51.488709	-0.170508	2015	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C174
C175				51.488709	-0.170508	2016	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C175
C176				51.488709	-0.170508	2016	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C176
C177				51.488709	-0.170508	2015	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C177
C178				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C178
C179				51.488709	-0.170508	2015	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C179
C18				51.474035	-3.479485	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C18
C180				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C180
C181				51.488709	-0.170508	2015	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C181
C182				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C182
C183				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C183
C184				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C184
C185				51.488709	-0.170508	2015	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C185
C186				51.488709	-0.170508	2016	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C186
C187				51.488709	-0.170508	2014	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C187
C188				51.488709	-0.170508	2014	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C188
C189				51.488709	-0.170508	2014	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C189
C19				51.474035	-3.479485	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C19
C190				51.488709	-0.170508	2014	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C190
C191				51.488709	-0.170508	2015	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C191
C2				51.538694	-3.125695	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C2
C20				51.421121	-3.178953	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C20
C21				51.815258	-5.080186	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C21
C22				51.578603	-3.002994	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C22
C220				53.349805	-6.26031	2005	Republic of Ireland	MAT1-1	Environmental	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C220
C221				53.349805	-6.26031	2005	Republic of Ireland	MAT1-2	Environmental	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C221
C222				53.349805	-6.26031	2005	Republic of Ireland	MAT1-2	Environmental	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C222
C223				53.349805	-6.26031	2005	Republic of Ireland	MAT1-1	Environmental	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C223
C23				51.578603	-3.002994	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C23
C24				51.578603	-3.002994	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C24
C246				52.954783	-1.158109	2012	UK	MAT1-2	Environmental	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C246
C25				51.513482	-3.184956	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C25
C26				51.505766	-3.173847	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C26
C27				51.505766	-3.173847	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C27
C272				52.954783	-1.158109	2012	UK	MAT1-2	Environmental	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C272
C275				53.70039	-0.80657	2010	UK	MAT1-2	Environmental	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C275
C28				51.505766	-3.173847	2015	UK	MAT1-1	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C28
C29				51.505766	-3.173847	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C29
C3				51.538694	-3.125695	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C3
C30				51.505766	-3.173847	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C30
C31				51.644322	-2.674872	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C31
C32				51.481581	-3.17909	2013	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C32
C33				51.481581	-3.17909	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C33
C34				51.481581	-3.17909	2015	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C34
C341				51.60844	-1.24484	2017	UK	MAT1-1	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C341
C342				51.51284	-0.16145	2017	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C342
C343				51.51284	-0.16145	2017	UK	MAT1-2	Environmental	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C343
C344				51.51284	-0.16145	2017	UK	MAT1-1	Environmental	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C344
C345				51.51284	-0.16145	2017	UK	MAT1-2	Environmental	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C345
C346				51.51284	-0.16145	2017	UK	MAT1-2	Environmental	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C346
C35				51.481581	-3.17909	2013	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C35
C354				53.349804	-6.26031		Republic of Ireland	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C354
C355				53.349804	-6.26031		Republic of Ireland	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C355
C356				53.349804	-6.26031		Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C356
C357				53.349804	-6.26031		Republic of Ireland	MAT1-1	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C357
C358				53.349804	-6.26031		Republic of Ireland	MAT1-2	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C358
C359				53.349804	-6.26031		Republic of Ireland	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C359
C36				51.481581	-3.17909	2013	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C36
C360				53.349804	-6.26031		Republic of Ireland	MAT1-2	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C360
C361				53.349804	-6.26031		Republic of Ireland	MAT1-2	Clinical	N/A	Aspergillus fumigatus	Aspergillus fumigatus C361
C362				53.349804	-6.26031		Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C362
C363				53.349804	-6.26031		Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C363
C364				57.149715	-2.094278	2016	Scotland	MAT1-1	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C364
C365				57.149715	-2.094278	2016	Scotland	MAT1-1	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C365
C366				57.149715	-2.094278	2016	Scotland	MAT1-1	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C366
C367				57.149715	-2.094278	2016	Scotland	MAT1-2	Environmental	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C367
C368				57.149715	-2.094278	2016	Scotland	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C368
C369				57.149715	-2.094278	2016	Scotland	MAT1-1	Environmental	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C369
C37				51.481581	-3.17909	2014	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C37
C38				51.481581	-3.17909	2014	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C38
C39				51.481581	-3.17909	2014	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C39
C4				51.550026	-3.122601	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C4
C40				53.349805	-6.26031	2013	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C40
C41				53.349805	-6.26031	2011	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C41
C42				53.349805	-6.26031	2011	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C42
C43				53.349805	-6.26031	2011	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C43
C44				53.349805	-6.26031	2011	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C44
C45				53.349805	-6.26031	2011	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C45
C46				53.349805	-6.26031	2011	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C46
C47				53.349805	-6.26031	2011	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C47
C48				53.349805	-6.26031	2011	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C48
C49				53.349805	-6.26031	2012	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C49
C5				51.441624	-3.276812	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C5
C50				53.349805	-6.26031	2012	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C50
C51				53.349805	-6.26031	2013	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C51
C52				53.349805	-6.26031	2012	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C52
C53				53.349805	-6.26031	2012	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C53
C54				53.349805	-6.26031	2012	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C54
C55				53.349805	-6.26031	2013	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C55
C56				53.349805	-6.26031	2010	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C56
C57				53.349805	-6.26031	2010	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C57
C58				53.349805	-6.26031	2012	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C58
C59				53.349805	-6.26031	2013	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C59
C6				51.441624	-3.276812	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C6
C60				53.349805	-6.26031	2013	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C60
C61				53.349805	-6.26031	2013	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C61
C62				53.349805	-6.26031	2013	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C62
C63				53.349805	-6.26031	2013	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C63
C64				53.349805	-6.26031	2013	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C64
C65				53.349805	-6.26031	2010	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C65
C66				53.349805	-6.26031	2010	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C66
C67				53.349805	-6.26031	2010	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C67
C68				53.349805	-6.26031	2013	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C68
C69				53.349805	-6.26031		Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C69
C7				51.443712	-3.302592	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C7
C70				53.349805	-6.26031		Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C70
C71				53.349805	-6.26031	2011	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C71
C72				53.349805	-6.26031	2011	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C72
C73				53.349805	-6.26031	2011	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C73
C74				53.349805	-6.26031	2011	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C74
C75				53.349805	-6.26031		Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C75
C76				53.349805	-6.26031	2011	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C76
C77				53.349805	-6.26031	2011	Republic of Ireland	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C77
C78				53.349805	-6.26031	2014	Republic of Ireland	MAT1-1	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C78
C79				53.349805	-6.26031	2014	Republic of Ireland	MAT1-2	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C79
C8				51.425458	-3.556041	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C8
C80				53.349805	-6.26031	2014	Republic of Ireland	MAT1-2	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C80
C81				53.349805	-6.26031	2015	Republic of Ireland	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C81
C82				53.349805	-6.26031	2015	Republic of Ireland	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C82
C83				53.349805	-6.26031	2015	Republic of Ireland	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C83
C84				53.349805	-6.26031	2015	Republic of Ireland	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C84
C85				53.349805	-6.26031	2016	Republic of Ireland	MAT1-2	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C85
C86				53.349805	-6.26031	2016	Republic of Ireland	MAT1-1	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C86
C87				53.349805	-6.26031	2015	Republic of Ireland	MAT1-1	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C87
C88				53.349805	-6.26031	2015	Republic of Ireland	MAT1-2	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C88
C89				53.349805	-6.26031	2015	Republic of Ireland	MAT1-2	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C89
C91				53.349805	-6.26031	2015	Republic of Ireland	MAT1-1	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C91
C92				53.349805	-6.26031	2015	Republic of Ireland	MAT1-2	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C92
C93				53.349805	-6.26031	2015	Republic of Ireland	MAT1-2	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C93
C95				53.349805	-6.26031	2015	Republic of Ireland	MAT1-1	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C95
C96				53.349805	-6.26031	2015	Republic of Ireland	MAT1-2	Environmental	N/A	Aspergillus fumigatus	Aspergillus fumigatus C96
