Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics[city]	Characteristics [organism]	Characteristics [specimen]	Characteristics [specimen]	latitude	longitude	Characteristics [fungus organism]	Characteristics [fungal strain]
B19108				CENTERS FOR DISEASE CONTROL AND PREVENTION	2020-07	USA	North America	 CA	Homo sapiens	Axilla and Groin	Screening	33.79 N	117.85 W	[Candida] auris	[Candida] auris B19108
B19105				CENTERS FOR DISEASE CONTROL AND PREVENTION	2020-07	USA	North America	 CA	Homo sapiens	Axilla and Groin	Screening	33.79 N	117.85 W	[Candida] auris	[Candida] auris B19105
B19101				CENTERS FOR DISEASE CONTROL AND PREVENTION	2020-07	USA	North America	 CA	Homo sapiens	Axilla and Groin	Screening	33.79 N	117.85 W	[Candida] auris	[Candida] auris B19101
B19073				CENTERS FOR DISEASE CONTROL AND PREVENTION	2020-06	USA	North America	 CA	Homo sapiens	"Blood\, Right Hand"	Clinical	33.79 N	117.85 W	[Candida] auris	[Candida] auris B19073
B19036				CENTERS FOR DISEASE CONTROL AND PREVENTION	2020-05	USA	North America	 CA	Homo sapiens	blood	Clinical	33.79 N	117.85 W	[Candida] auris	[Candida] auris B19036
B18999				CENTERS FOR DISEASE CONTROL AND PREVENTION	2020-05	USA	North America	 OH	Homo sapiens	Axilla and Groin	Screening	33.79 N	117.85 W	[Candida] auris	[Candida] auris B18999
B18869				CENTERS FOR DISEASE CONTROL AND PREVENTION	2020-03	USA	North America	 CA	Homo sapiens	Leg_Lower	Clinical	33.79 N	117.85 W	[Candida] auris	[Candida] auris B18869
B18560				CENTERS FOR DISEASE CONTROL AND PREVENTION	2019-09	USA	North America	 MD	Homo sapiens	blood	Clinical	33.79 N	117.85 W	[Candida] auris	[Candida] auris B18560
B15356				CENTERS FOR DISEASE CONTROL AND PREVENTION	2018-05	USA	North America	 MD	Homo sapiens	urine	Clinical	33.79 N	117.85 W	[Candida] auris	[Candida] auris B15356
B15152				CENTERS FOR DISEASE CONTROL AND PREVENTION	2018-04	USA	North America	 NJ	Homo sapiens	Groin	Screening	33.79 N	117.85 W	[Candida] auris	[Candida] auris B15152
